Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jan 01 14:00,112.5,836.5,13.425,22.35,41.30471304,199.0962372,50,2.825,28.97310434,270,23.0225,72.5714,22.5,686,56,845,0,115
Year 1 Jan 01 15:00,103.25,784.5,12.05,22.875,35.02866545,214.7367889,12.5,2.65,35.20531406,270,23.0225,72.5714,23,593,49,811,0,105
Year 1 Jan 01 16:00,95.75,645.75,11.775,22.7,25.9901698,226.8591889,0,2.45,38.99002636,270,23.0225,72.5714,22.6,434,50,705,0,98
Year 1 Jan 01 17:00,76.5,363.75,11.875,22.3,15.18626478,236.0399943,0,2.325,36.856808,270,23.0225,72.5714,22.2,234,52,468,0,89
Year 1 Jan 01 18:00,29.25,38.25,11.9,21.9,3.281851426,243.1099705,330,2.15,28.67539697,270,23.0225,72.5714,21.8,45,53,51,0,39
Year 1 Jan 01 19:00,0,0,11.225,20.375,-9.318629231,248.7345706,320,1.575,24.31992025,270,23.0225,72.5714,19.9,0,57,0,0,0
Year 1 Jan 01 20:00,0,0,10.325,18.4,-22.37049192,253.3759416,320,0.875,22.27463501,270,23.0225,72.5714,17.9,0,60,0,0,0
Year 1 Jan 01 21:00,0,0,9.275,16.475,-35.72101752,257.3462045,170,0.175,20.66837963,270,23.0225,72.5714,16,0,63,0,0,0
Year 1 Jan 01 22:00,0,0,8.25,15.775,-49.27026744,260.8591843,0,0.9,19.41551531,270,23.0225,72.5714,15.7,0,60,0,0,0
Year 1 Jan 01 23:00,0,0,7.1,15.55,-62.94893805,264.0644988,0,2.1,18.33951619,270,23.0225,72.5714,15.5,0,56,0,0,0
Year 1 Jan 02 00:00,0,0,5.9,15.275,-76.70548083,267.0505884,345,3.3,17.42199041,270,23.0225,72.5714,15.2,0,53,0,0,0
Year 1 Jan 02 01:00,0,0,5.9,14.375,-86.54868177,89.71502397,340,2.7,16.64772273,270,23.0225,72.5714,14.1,0,58,0,0,0
Year 1 Jan 02 02:00,0,0,6.225,13.35,-75.81263577,92.77829774,340,1.5,16.02870111,270,23.0225,72.5714,13.1,0,63,0,0,0
Year 1 Jan 02 03:00,0,0,6.525,12.275,-62.05547903,95.9576762,175,0.3,15.4668922,270,23.0225,72.5714,12,0,69,0,0,0
Year 1 Jan 02 04:00,0,0,6.6,11.325,-48.37886986,99.23353398,0,0,14.80001985,270,23.0225,72.5714,11.1,0,74,0,0,0
Year 1 Jan 02 05:00,0,0,6.6,10.35,-34.83510929,102.7958956,0,0,14.08678908,270,23.0225,72.5714,10.1,0,79,0,0,0
Year 1 Jan 02 06:00,0,0,6.6,9.425,-21.494841,106.8154141,0,0,13.37549023,270,23.0225,72.5714,9.2,0,84,0,0,0
Year 1 Jan 02 07:00,0,0,6.525,9.725,-8.460376984,111.5167967,0,0.225,13.0201477,270,23.0225,72.5714,9.9,0,79,0,0,0
Year 1 Jan 02 08:00,34.75,55,6.425,10.5,4.111340716,117.2227864,0,0.6,13.41517749,270,23.0225,72.5714,10.7,13,75,0,0,13
Year 1 Jan 02 09:00,109.25,299,6.325,11.225,15.96805034,124.4092226,0,0.925,14.97295197,270,23.0225,72.5714,11.4,150,71,220,0,100
Year 1 Jan 02 10:00,136.5,584,6,12.975,26.69197092,133.7580491,0,1.225,16.76916385,270,23.0225,72.5714,13.5,358,60,536,0,137
Year 1 Jan 02 11:00,132,753.5,5.6,15.075,35.59719817,146.1074718,0,1.6,18.31398499,270,23.0225,72.5714,15.6,539,51,728,0,135
Year 1 Jan 02 12:00,120,841.75,5.125,17.175,41.66482165,161.9928504,0,2,19.73786851,270,23.0225,72.5714,17.7,664,43,830,0,123
Year 1 Jan 02 13:00,110.25,875.75,4.7,19.275,43.77472371,180.5404514,0,2.325,21.62467043,270,23.0225,72.5714,19.8,718,37,877,0,111
Year 1 Jan 02 14:00,105.75,862.75,4.225,21.375,41.41710622,198.9975122,0,2.625,27.97896706,270,23.0225,72.5714,21.9,697,31,872,0,108
Year 1 Jan 02 15:00,100.25,803.25,3.725,23.475,35.15697411,214.6865495,0,3,34.74535494,270,23.0225,72.5714,24,603,26,835,0,99
Year 1 Jan 02 16:00,101.75,647.5,3.675,23.775,26.12430829,226.8445602,0,2.875,38.72343072,270,23.0225,72.5714,23.7,443,27,708,0,104
Year 1 Jan 02 17:00,80.75,369.25,3.7,23.4,15.32081597,236.0488556,0,2.5,36.99501878,270,23.0225,72.5714,23.3,240,28,466,0,95
Year 1 Jan 02 18:00,28.5,59.25,3.775,23.075,3.414350386,243.1351503,0,2.175,29.27834153,270,23.0225,72.5714,23,47,29,79,0,38
Year 1 Jan 02 19:00,0,0,4.55,21.575,-9.189214073,248.7731477,0,1.95,24.59641499,270,23.0225,72.5714,21.1,0,35,0,0,0
Year 1 Jan 02 20:00,0,0,5.55,19.6,-22.24456627,253.4283662,0,1.75,22.44353069,270,23.0225,72.5714,19.1,0,42,0,0,0
Year 1 Jan 02 21:00,0,0,6.475,17.675,-35.59873559,257.4166379,0,1.55,20.7635239,270,23.0225,72.5714,17.2,0,50,0,0,0
Year 1 Jan 02 22:00,0,0,6.7,16.375,-49.15170102,260.9584855,0,1.5,19.46094727,270,23.0225,72.5714,16.1,0,53,0,0,0
Year 1 Jan 02 23:00,0,0,6.7,15.35,-62.83415248,264.2228541,0,1.5,18.38283356,270,23.0225,72.5714,15.1,0,57,0,0,0
Year 1 Jan 03 00:00,0,0,6.625,14.275,-76.59454711,267.4081624,0,1.5,17.38423696,270,23.0225,72.5714,14,0,61,0,0,0
Year 1 Jan 03 01:00,0,0,6.525,13.4,-86.5447659,88.21932479,0,1.125,16.59611608,270,23.0225,72.5714,13.2,0,64,0,0,0
Year 1 Jan 03 02:00,0,0,6.35,12.6,-75.91268813,92.36109496,0,0.625,15.92657225,270,23.0225,72.5714,12.4,0,66,0,0,0
Year 1 Jan 03 03:00,0,0,6.15,11.8,-62.15070705,95.73904895,0,0.125,15.28105438,270,23.0225,72.5714,11.6,0,69,0,0,0
Year 1 Jan 03 04:00,0,0,5.875,11.525,-48.46840247,99.07289778,0,0.375,14.7294825,270,23.0225,72.5714,11.5,0,68,0,0,0
Year 1 Jan 03 05:00,0,0,5.575,11.35,-34.91800762,102.6598563,0,0.875,14.19780358,270,23.0225,72.5714,11.3,0,67,0,0,0
Year 1 Jan 03 06:00,0,0,5.2,11.225,-21.56982156,106.6896602,52.5,1.375,13.6263408,270,23.0225,72.5714,11.2,0,66,0,0,0
Year 1 Jan 03 07:00,0,0,4.875,12.025,-8.525603306,111.392788,70,2.175,13.47059401,270,23.0225,72.5714,12.3,0,60,0,0,0
Year 1 Jan 03 08:00,34.5,55.75,4.5,13.05,4.058554888,117.0939729,70,3,14.05720259,270,23.0225,72.5714,13.3,13,55,0,0,13
Year 1 Jan 03 09:00,108.25,302.5,4.1,14.125,15.93167426,124.2698041,85,3.875,15.68369718,270,23.0225,72.5714,14.4,150,50,223,0,99
Year 1 Jan 03 10:00,135.5,588.25,4.525,16.125,26.6777629,133.6034715,90,4.325,17.67205546,270,23.0225,72.5714,16.7,358,45,541,0,136
Year 1 Jan 03 11:00,131.5,754.5,5.15,18.5,35.61274167,145.9380102,90,4.7,19.59566508,270,23.0225,72.5714,19.1,540,40,730,0,134
Year 1 Jan 03 12:00,121,839.25,5.75,20.825,41.71735441,161.8214319,90,5.025,21.45423252,270,23.0225,72.5714,21.4,664,36,828,0,124
Year 1 Jan 03 13:00,111.75,871,6.125,22.525,43.86519537,180.3954733,90,4.875,23.41089324,270,23.0225,72.5714,22.9,718,34,873,1,112
Year 1 Jan 03 14:00,109.5,853.75,6.35,23.95,41.53612349,198.9030273,90,4.575,29.18384111,270,23.0225,72.5714,24.3,697,32,865,2,111
Year 1 Jan 03 15:00,106.25,787,6.625,25.425,35.2907952,214.6424332,90,4.2,35.59733477,270,23.0225,72.5714,25.8,600,30,820,3,105
Year 1 Jan 03 16:00,107,628.25,7.15,25.35,26.26277644,226.8368009,90,3.5,39.32151158,270,23.0225,72.5714,25.2,441,32,688,4,110
Year 1 Jan 03 17:00,83.25,355.75,7.75,24.75,15.45865461,236.0647946,90,2.625,37.62081418,270,23.0225,72.5714,24.6,239,34,449,4,98
Year 1 Jan 03 18:00,29.25,57,8.35,24.225,3.549274581,243.1675185,90,1.725,30.21316824,270,23.0225,72.5714,24.1,48,37,76,4,39
Year 1 Jan 03 19:00,0,0,8.725,22.6,-9.058080555,248.8191638,90,1.125,25.60129472,270,23.0225,72.5714,22.1,0,43,0,5,0
Year 1 Jan 03 20:00,0,0,8.95,20.525,-22.11750811,253.4887847,90,0.625,23.48883725,270,23.0225,72.5714,20,0,49,0,6,0
Year 1 Jan 03 21:00,0,0,9.15,18.5,-35.47581313,257.4961407,22.5,0.125,21.86169002,270,23.0225,72.5714,18,0,56,0,6,0
Year 1 Jan 03 22:00,0,0,9.35,17.325,-49.03290639,261.0689084,0,0.375,20.60855385,270,23.0225,72.5714,17.1,0,60,0,6,0
Year 1 Jan 03 23:00,0,0,9.475,16.5,-62.71945866,264.3966729,0,0.875,19.5468606,270,23.0225,72.5714,16.3,0,64,0,6,0
Year 1 Jan 04 00:00,0,0,9.575,15.625,-76.48376908,267.7935928,37.5,1.375,18.45981649,270,23.0225,72.5714,15.4,0,68,0,6,0
Year 1 Jan 04 01:00,0,0,9.45,15.025,-86.53790784,86.6137454,50,1.5,17.63522692,270,23.0225,72.5714,14.9,0,69,0,6,0
Year 1 Jan 04 02:00,0,0,9.25,14.6,-76.01034727,91.9049538,50,1.5,16.98169087,270,23.0225,72.5714,14.5,0,71,0,5,0
Year 1 Jan 04 03:00,0,0,8.975,14.125,-62.24357127,95.50316292,50,1.5,16.38348585,270,23.0225,72.5714,14,0,72,0,4,0
Year 1 Jan 04 04:00,0,0,8.75,13.625,-48.55530836,98.9008188,50,1.5,15.80706985,270,23.0225,72.5714,13.5,0,73,0,4,0
Year 1 Jan 04 05:00,0,0,8.55,13.2,-34.99792781,102.5149775,50,1.5,15.28340995,270,23.0225,72.5714,13.1,0,74,0,3,0
Year 1 Jan 04 06:00,0,0,8.275,12.725,-21.64140954,106.5564662,12.5,1.5,14.8012155,270,23.0225,72.5714,12.6,0,75,0,2,0
Year 1 Jan 04 07:00,0,0,8.2,12.675,-8.586956737,111.2621627,0,1.5,14.485433,270,23.0225,72.5714,12.7,0,74,0,2,0
Year 1 Jan 04 08:00,34.5,54.25,8.2,12.85,4.010200128,116.9590724,0,1.5,14.77727241,270,23.0225,72.5714,12.9,13,73,0,2,13
Year 1 Jan 04 09:00,107,297.75,8.2,12.975,15.90037777,124.1247313,0,1.5,16.13142418,270,23.0225,72.5714,13,148,73,217,2,99
Year 1 Jan 04 10:00,128.25,585,9.325,15.175,26.66936994,133.4438122,0,1.5,18.03823546,270,23.0225,72.5714,15.9,353,67,540,4,131
Year 1 Jan 04 11:00,139.25,695.5,10.75,18.15,35.6348609,145.7645586,0,1.5,20.13976976,270,23.0225,72.5714,18.9,520,61,720,5,120
Year 1 Jan 04 12:00,205,619.25,12,21.075,41.77705022,161.6481213,0,1.5,22.72832571,270,23.0225,72.5714,21.8,603,55,622,6,197
Year 1 Jan 04 13:00,227,610.5,12.075,22.85,43.96289548,180.2517438,0,1.65,25.02405505,270,23.0225,72.5714,23.2,653,49,611,6,229
Year 1 Jan 04 14:00,214.25,603.5,11.7,24.25,41.66170891,198.812881,0,1.85,30.45015527,270,23.0225,72.5714,24.6,635,44,609,6,221
Year 1 Jan 04 15:00,174.25,603.5,11.3,25.65,35.43005009,214.6045316,330,2.05,36.38442539,270,23.0225,72.5714,26,550,40,587,6,194
Year 1 Jan 04 16:00,111,601.75,11.125,25.85,26.40547977,226.8359774,320,1.95,40.92169296,270,23.0225,72.5714,25.8,430,40,653,5,115
Year 1 Jan 04 17:00,84.25,358,11.025,25.65,15.59967867,236.08785,320,1.75,39.52245929,270,23.0225,72.5714,25.6,240,40,448,4,99
Year 1 Jan 04 18:00,30,66,10.85,25.45,3.686520668,243.2070891,320,1.55,32.22380233,270,23.0225,72.5714,25.4,50,40,88,2,40
Year 1 Jan 04 19:00,0,0,9.75,24.275,-8.925329032,248.8726105,320,1.8,27.06654196,270,23.0225,72.5714,23.9,0,40,0,2,0
Year 1 Jan 04 20:00,0,0,8.275,22.7,-21.98941144,253.5571654,320,2.125,24.8759699,270,23.0225,72.5714,22.3,0,39,0,1,0
Year 1 Jan 04 21:00,0,0,6.55,21.175,-35.35233423,257.5846508,170,2.5,23.1800684,270,23.0225,72.5714,20.8,0,38,0,0,0
Year 1 Jan 04 22:00,0,0,6.325,19.825,-48.91395234,261.190339,0,2.6,21.82490682,270,23.0225,72.5714,19.5,0,42,0,2,0
Year 1 Jan 04 23:00,0,0,6.625,18.6,-62.60489779,264.5857155,0,2.6,20.67015159,270,23.0225,72.5714,18.3,0,47,0,3,0
Year 1 Jan 05 00:00,0,0,6.925,17.325,-76.37311269,268.20602,0,2.6,19.56914885,270,23.0225,72.5714,17,0,52,0,5,0
Year 1 Jan 05 01:00,0,0,7.075,16.475,-86.52750054,84.89545324,0,1.925,18.78667523,270,23.0225,72.5714,16.3,0,54,0,5,0
Year 1 Jan 05 02:00,0,0,7.175,15.85,-76.10533213,91.40940623,0,1.1,18.21840652,270,23.0225,72.5714,15.7,0,57,0,4,0
Year 1 Jan 05 03:00,0,0,7.275,15.175,-62.33389861,95.25001864,0,0.225,17.6918977,270,23.0225,72.5714,15,0,60,0,4,0
Year 1 Jan 05 04:00,0,0,7,14.85,-48.63945091,98.71734822,0,0.75,17.13686233,270,23.0225,72.5714,14.8,0,59,0,2,0
Year 1 Jan 05 05:00,0,0,6.6,14.65,-35.07475544,102.3613232,0,1.825,16.53412254,270,23.0225,72.5714,14.6,0,58,0,1,0
Year 1 Jan 05 06:00,0,0,6.2,14.45,-21.70950823,106.415902,0,2.85,15.9760701,270,23.0225,72.5714,14.4,0,57,0,0,0
Year 1 Jan 05 07:00,0,0,5.65,15.6,-8.644357137,111.124995,0,3.025,16.10261322,270,23.0225,72.5714,16,0,50,0,0,0
Year 1 Jan 05 08:00,34.5,55.75,5.05,17.2,3.966339404,116.8181635,0,2.925,17.08282342,270,23.0225,72.5714,17.6,13,43,0,0,13
Year 1 Jan 05 09:00,108,303.75,4.45,18.8,15.87420507,123.9740864,0,2.825,19.12045037,270,23.0225,72.5714,19.2,149,37,223,1,99
Year 1 Jan 05 10:00,134.25,594.25,3.85,20.4,26.66681567,133.279154,0,2.8,21.11223534,270,23.0225,72.5714,20.8,359,32,546,1,135
Year 1 Jan 05 11:00,129,764.75,3.175,22,35.66355828,145.587195,0,2.725,22.73341024,270,23.0225,72.5714,22.4,543,28,739,1,132
Year 1 Jan 05 12:00,117.25,852.5,2.475,23.6,41.8438919,161.4729924,0,2.625,24.20107541,270,23.0225,72.5714,24,670,24,842,1,120
Year 1 Jan 05 13:00,108.75,881.25,3.35,24.375,44.06778781,180.1093472,0,2.6,25.80563071,270,23.0225,72.5714,24.5,724,26,884,1,109
Year 1 Jan 05 14:00,106.5,862.75,4.675,24.8,41.79380355,198.7271723,0,2.6,31.44160487,270,23.0225,72.5714,24.9,703,28,873,1,108
Year 1 Jan 05 15:00,103.25,799.5,5.825,25.275,35.57465714,214.5729361,0,2.6,37.67035297,270,23.0225,72.5714,25.4,608,29,832,1,102
Year 1 Jan 05 16:00,106.5,634,6.775,25.25,26.55232134,226.8421547,0,2.6,41.14643808,270,23.0225,72.5714,25.2,448,31,702,3,107
Year 1 Jan 05 17:00,89,336.75,7.6,25.05,15.74378447,236.1180577,0,2.6,38.41537443,270,23.0225,72.5714,25,242,33,430,5,105
Year 1 Jan 05 18:00,30.75,42.75,8.325,24.85,3.825984577,243.2538726,330,2.6,30.78650211,270,23.0225,72.5714,24.8,48,35,57,6,41
Year 1 Jan 05 19:00,0,0,8.8,23.6,-8.791059637,248.9334758,320,2.3,26.54582038,270,23.0225,72.5714,23.2,0,40,0,5,0
Year 1 Jan 05 20:00,0,0,9.125,22,-21.86036908,253.6334732,320,1.975,24.60353792,270,23.0225,72.5714,21.6,0,45,0,4,0
Year 1 Jan 05 21:00,0,0,9.425,20.4,-35.22838081,257.6821027,170,1.6,23.09822554,270,23.0225,72.5714,20,0,51,0,2,0
Year 1 Jan 05 22:00,0,0,9.125,19.475,-48.79490417,261.3226602,0,1.8,21.92693807,270,23.0225,72.5714,19.3,0,51,0,2,0
Year 1 Jan 05 23:00,0,0,8.55,18.85,-62.49050581,264.7897407,0,2.125,20.97948385,270,23.0225,72.5714,18.7,0,51,0,2,0
Year 1 Jan 06 00:00,0,0,7.95,18.175,-76.26253566,268.6446042,0,2.5,20.11023329,270,23.0225,72.5714,18,0,51,0,2,0
Year 1 Jan 06 01:00,0,0,7.875,17.475,-86.51288361,83.06239846,0,2.45,19.35591888,270,23.0225,72.5714,17.3,0,54,0,2,0
Year 1 Jan 06 02:00,0,0,7.975,16.85,-76.19734757,90.87406577,0,2.325,18.7007537,270,23.0225,72.5714,16.7,0,57,0,2,0
Year 1 Jan 06 03:00,0,0,8.075,16.175,-62.42151217,94.97963698,0,2.15,18.07470682,270,23.0225,72.5714,16,0,59,0,2,0
Year 1 Jan 06 04:00,0,0,8.325,15.025,-48.72069242,98.52254762,0,1.575,17.37097859,270,23.0225,72.5714,14.7,0,66,0,2,0
Year 1 Jan 06 05:00,0,0,8.55,13.65,-35.14837648,102.1989641,0,0.875,16.63733993,270,23.0225,72.5714,13.3,0,73,0,2,0
Year 1 Jan 06 06:00,0,0,8.75,12.325,-21.77402229,106.2680421,0,0.175,15.9071928,270,23.0225,72.5714,12,0,81,0,2,0
Year 1 Jan 06 07:00,0,0,8.8,12.375,-8.697726491,110.9813625,0,0,15.49765912,270,23.0225,72.5714,12.5,0,78,0,2,0
Year 1 Jan 06 08:00,34.25,54.25,8.725,12.8,3.927032986,116.6713272,0,0,15.82402328,270,23.0225,72.5714,12.9,13,75,0,2,13
Year 1 Jan 06 09:00,107.75,296.25,8.625,13.275,15.85319726,123.8179527,0,0,17.35250056,270,23.0225,72.5714,13.4,148,73,217,1,98
Year 1 Jan 06 10:00,136.5,582.75,7.775,15.725,26.67012037,133.1095794,0,1.05,19.25870544,270,23.0225,72.5714,16.5,357,55,534,1,137
Year 1 Jan 06 11:00,132,755,6.6,18.75,35.6988329,145.4059966,0,2.375,20.97699687,270,23.0225,72.5714,19.5,541,42,729,1,135
Year 1 Jan 06 12:00,120.75,842.75,5.325,21.825,41.91785922,161.2961179,52.5,3.75,22.85383224,270,23.0225,72.5714,22.6,668,32,833,1,123
Year 1 Jan 06 13:00,122,853.5,5.6,23.2,44.17983327,179.9683676,70,3.05,24.78617343,270,23.0225,72.5714,23.4,722,32,872,3,114
Year 1 Jan 06 14:00,158,747.75,6.325,24,41.93234548,198.6460012,70,1.725,30.87777779,270,23.0225,72.5714,24.2,690,32,798,5,146
Year 1 Jan 06 15:00,185.75,577.25,7.025,24.8,35.72453184,214.5477378,17.5,0.35,37.03439132,270,23.0225,72.5714,25,558,32,597,6,194
Year 1 Jan 06 16:00,149,478.25,7.8,24.775,26.70320181,226.8553962,0,0.525,40.34323628,270,23.0225,72.5714,24.7,413,34,518,6,161
Year 1 Jan 06 17:00,95.25,284.75,8.525,24.4,15.89086675,236.155451,0,1.225,38.03163222,270,23.0225,72.5714,24.3,228,37,359,6,113
Year 1 Jan 06 18:00,31.5,46.5,9.15,24.075,3.967561599,243.3078765,0,1.925,30.64500596,270,23.0225,72.5714,24,49,39,62,6,42
Year 1 Jan 06 19:00,0,0,9.375,22.95,-8.655372199,249.0017443,0,1.8,26.23936582,270,23.0225,72.5714,22.6,0,43,0,6,0
Year 1 Jan 06 20:00,0,0,9.4,21.475,-21.73047261,253.717669,0,1.475,24.39641989,270,23.0225,72.5714,21.1,0,47,0,5,0
Year 1 Jan 06 21:00,0,0,9.475,20.05,-35.10403247,257.788427,0,1.1,23.02175135,270,23.0225,72.5714,19.7,0,52,0,5,0
Year 1 Jan 06 22:00,0,0,9.5,18.65,-48.6758237,261.4657515,0,0.775,21.88962966,270,23.0225,72.5714,18.3,0,57,0,5,0
Year 1 Jan 06 23:00,0,0,9.575,17.175,-62.37631353,265.0085061,0,0.475,20.82040303,270,23.0225,72.5714,16.8,0,62,0,4,0
Year 1 Jan 07 00:00,0,0,9.6,15.75,-76.15198798,269.1085243,0,0.1,19.78882804,270,23.0225,72.5714,15.4,0,68,0,4,0
Year 1 Jan 07 01:00,0,0,9.15,15.175,-86.49334592,81.11382144,0,0,19.0121371,270,23.0225,72.5714,15.1,0,67,0,3,0
Year 1 Jan 07 02:00,0,0,8.475,14.8,-76.2860848,90.29864174,0,0,18.33447924,270,23.0225,72.5714,14.7,0,65,0,2,0
Year 1 Jan 07 03:00,0,0,7.7,14.475,-62.50623155,94.69206045,0,0,17.68726575,270,23.0225,72.5714,14.4,0,63,0,1,0
Year 1 Jan 07 04:00,0,0,7.65,14.025,-48.79889443,98.3164893,0,0,17.09770223,270,23.0225,72.5714,13.9,0,66,0,3,0
Year 1 Jan 07 05:00,0,0,7.775,13.45,-35.21867749,102.0279775,0,0,16.52990757,270,23.0225,72.5714,13.3,0,69,0,5,0
Year 1 Jan 07 06:00,0,0,7.875,12.925,-21.83485791,106.1129653,0,0,15.9933784,270,23.0225,72.5714,12.8,0,72,0,6,0
Year 1 Jan 07 07:00,0,0,8.5,13.1,-8.746989009,110.831346,0,0,15.7864572,270,23.0225,72.5714,13.2,0,74,0,6,0
Year 1 Jan 07 08:00,33.75,49,9.3,13.5,3.892338374,116.5186462,0,0,16.25718285,270,23.0225,72.5714,13.6,12,76,0,5,12
Year 1 Jan 07 09:00,109.5,276.5,10.025,13.9,15.83739226,123.6564145,0,0,17.93447727,270,23.0225,72.5714,14,143,78,196,5,99
Year 1 Jan 07 10:00,136.25,574.75,10.725,16.1,26.67930094,132.9351712,0,0.525,19.94279312,270,23.0225,72.5714,16.8,354,68,518,3,141
Year 1 Jan 07 11:00,120.5,767,11.425,18.9,35.74068056,145.2210395,0,1.225,21.63526342,270,23.0225,72.5714,19.6,537,60,745,2,122
Year 1 Jan 07 12:00,116,840,12.05,21.7,41.99892888,161.1175693,67.5,1.925,23.24755113,270,23.0225,72.5714,22.4,662,52,833,0,116
Year 1 Jan 07 13:00,115.5,859.5,12.35,23.075,44.29898988,179.8288889,90,2.1,25.05425974,270,23.0225,72.5714,23.3,718,50,861,0,116
Year 1 Jan 07 14:00,112,845.75,12.475,23.9,42.0772698,198.5694683,90,2.1,30.99395977,270,23.0225,72.5714,24.1,699,48,855,0,114
Year 1 Jan 07 15:00,103.75,794,12.575,24.775,35.87958675,214.5290279,187.5,2.1,37.62189897,270,23.0225,72.5714,25,607,46,818,0,106
Year 1 Jan 07 16:00,95.25,665.5,12.525,24.85,26.8580195,226.8757634,340,2.1,41.75888962,270,23.0225,72.5714,24.8,451,46,722,0,97
Year 1 Jan 07 17:00,78.75,392.5,12.425,24.65,16.04081877,236.2000605,340,2.1,40.09184423,270,23.0225,72.5714,24.6,250,46,496,0,90
Year 1 Jan 07 18:00,33.75,61.5,12.25,24.45,4.111146482,243.3691048,325,2.1,31.90984514,270,23.0225,72.5714,24.4,56,46,82,0,45
Year 1 Jan 07 19:00,0,0,12.2,23.2,-8.518366152,249.077397,320,1.575,27.04203385,270,23.0225,72.5714,22.8,0,51,0,0,0
Year 1 Jan 07 20:00,0,0,12.2,21.6,-21.59981224,253.8097104,320,0.875,25.05802251,270,23.0225,72.5714,21.2,0,56,0,0,0
Year 1 Jan 07 21:00,0,0,12.125,20,-34.97936652,257.903551,170,0.175,23.55934781,270,23.0225,72.5714,19.6,0,62,0,0,0
Year 1 Jan 07 22:00,0,0,11.5,19,-48.55676932,261.6194891,0,0.675,22.30585169,270,23.0225,72.5714,18.8,0,62,0,2,0
Year 1 Jan 07 23:00,0,0,10.7,18.2,-62.26234674,265.2417685,0,1.5,21.1400937,270,23.0225,72.5714,18,0,62,0,4,0
Year 1 Jan 08 00:00,0,0,9.825,17.4,-76.04141238,269.5969748,330,2.375,20.03313926,270,23.0225,72.5714,17.2,0,61,0,6,0
Year 1 Jan 08 01:00,0,0,9.45,16.75,-86.46813192,79.05084426,320,1.925,19.2909127,270,23.0225,72.5714,16.6,0,62,0,6,0
Year 1 Jan 08 02:00,0,0,9.175,16.15,-76.371222,89.68295435,320,1.1,18.75447822,270,23.0225,72.5714,16,0,64,0,5,0
Year 1 Jan 08 03:00,0,0,8.875,15.55,-62.58787313,94.38735434,170,0.225,18.26607957,270,23.0225,72.5714,15.4,0,65,0,4,0
