Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jan 01 18:00,29.25,38.25,11.9,21.9,3.281851426,243.1099705,330,2.15,22.84394134,90,23.0225,72.5714,21.8,45,53,51,0,39
Year 1 Jan 01 19:00,0,0,11.225,20.375,-9.318629231,248.7345706,320,1.575,21.36876082,90,23.0225,72.5714,19.9,0,57,0,0,0
Year 1 Jan 01 20:00,0,0,10.325,18.4,-22.37049192,253.3759416,320,0.875,20.13202456,90,23.0225,72.5714,17.9,0,60,0,0,0
Year 1 Jan 01 21:00,0,0,9.275,16.475,-35.72101752,257.3462045,170,0.175,19.02097896,90,23.0225,72.5714,16,0,63,0,0,0
Year 1 Jan 01 22:00,0,0,8.25,15.775,-49.27026744,260.8591843,0,0.9,18.1386205,90,23.0225,72.5714,15.7,0,60,0,0,0
Year 1 Jan 01 23:00,0,0,7.1,15.55,-62.94893805,264.0644988,0,2.1,17.36609693,90,23.0225,72.5714,15.5,0,56,0,0,0
Year 1 Jan 02 00:00,0,0,5.9,15.275,-76.70548083,267.0505884,345,3.3,16.69981401,90,23.0225,72.5714,15.2,0,53,0,0,0
Year 1 Jan 02 01:00,0,0,5.9,14.375,-86.54868177,89.71502397,340,2.7,16.01890772,90,23.0225,72.5714,14.1,0,58,0,0,0
Year 1 Jan 02 02:00,0,0,6.225,13.35,-75.81263577,92.77829774,340,1.5,15.39024404,90,23.0225,72.5714,13.1,0,63,0,0,0
Year 1 Jan 02 03:00,0,0,6.525,12.275,-62.05547903,95.9576762,175,0.3,14.90048844,90,23.0225,72.5714,12,0,69,0,0,0
Year 1 Jan 02 04:00,0,0,6.6,11.325,-48.37886986,99.23353398,0,0,14.29165111,90,23.0225,72.5714,11.1,0,74,0,0,0
Year 1 Jan 02 05:00,0,0,6.6,10.35,-34.83510929,102.7958956,0,0,13.6325464,90,23.0225,72.5714,10.1,0,79,0,0,0
Year 1 Jan 02 06:00,0,0,6.6,9.425,-21.494841,106.8154141,0,0,12.9685466,90,23.0225,72.5714,9.2,0,84,0,0,0
Year 1 Jan 02 07:00,0,0,6.525,9.725,-8.460376984,111.5167967,0,0.225,12.65190097,90,23.0225,72.5714,9.9,0,79,0,0,0
Year 1 Jan 02 08:00,34.75,55,6.425,10.5,4.111340716,117.2227864,0,0.6,15.40640578,90,23.0225,72.5714,10.7,13,75,0,0,13
Year 1 Jan 02 09:00,109.25,299,6.325,11.225,15.96805034,124.4092226,0,0.925,24.63927744,90,23.0225,72.5714,11.4,150,71,220,0,100
Year 1 Jan 02 10:00,136.5,584,6,12.975,26.69197092,133.7580491,0,1.225,32.08673262,90,23.0225,72.5714,13.5,358,60,536,0,137
Year 1 Jan 02 11:00,132,753.5,5.6,15.075,35.59719817,146.1074718,0,1.6,33.8941907,90,23.0225,72.5714,15.6,539,51,728,0,135
Year 1 Jan 02 12:00,120,841.75,5.125,17.175,41.66482165,161.9928504,0,2,31.29920794,90,23.0225,72.5714,17.7,664,43,830,0,123
Year 1 Jan 02 13:00,110.25,875.75,4.7,19.275,43.77472371,180.5404514,0,2.325,26.80905588,90,23.0225,72.5714,19.8,718,37,877,0,111
Year 1 Jan 02 14:00,105.75,862.75,4.225,21.375,41.41710622,198.9975122,0,2.625,25.73458167,90,23.0225,72.5714,21.9,697,31,872,0,108
Year 1 Jan 02 15:00,100.25,803.25,3.725,23.475,35.15697411,214.6865495,0,3,25.87887265,90,23.0225,72.5714,24,603,26,835,0,99
Year 1 Jan 02 16:00,101.75,647.5,3.675,23.775,26.12430829,226.8445602,0,2.875,25.54798999,90,23.0225,72.5714,23.7,443,27,708,0,104
Year 1 Jan 02 17:00,80.75,369.25,3.7,23.4,15.32081597,236.0488556,0,2.5,24.54403864,90,23.0225,72.5714,23.3,240,28,466,0,95
Year 1 Jan 02 18:00,28.5,59.25,3.775,23.075,3.414350386,243.1351503,0,2.175,23.08996685,90,23.0225,72.5714,23,47,29,79,0,38
Year 1 Jan 02 19:00,0,0,4.55,21.575,-9.189214073,248.7731477,0,1.95,21.67705381,90,23.0225,72.5714,21.1,0,35,0,0,0
Year 1 Jan 02 20:00,0,0,5.55,19.6,-22.24456627,253.4283662,0,1.75,20.44954817,90,23.0225,72.5714,19.1,0,42,0,0,0
Year 1 Jan 02 21:00,0,0,6.475,17.675,-35.59873559,257.4166379,0,1.55,19.26987108,90,23.0225,72.5714,17.2,0,50,0,0,0
Year 1 Jan 02 22:00,0,0,6.7,16.375,-49.15170102,260.9584855,0,1.5,18.28162567,90,23.0225,72.5714,16.1,0,53,0,0,0
Year 1 Jan 02 23:00,0,0,6.7,15.35,-62.83415248,264.2228541,0,1.5,17.4177145,90,23.0225,72.5714,15.1,0,57,0,0,0
Year 1 Jan 03 00:00,0,0,6.625,14.275,-76.59454711,267.4081624,0,1.5,16.57382884,90,23.0225,72.5714,14,0,61,0,0,0
Year 1 Jan 03 01:00,0,0,6.525,13.4,-86.5447659,88.21932479,0,1.125,15.88664377,90,23.0225,72.5714,13.2,0,64,0,0,0
Year 1 Jan 03 02:00,0,0,6.35,12.6,-75.91268813,92.36109496,0,0.625,15.29144845,90,23.0225,72.5714,12.4,0,66,0,0,0
Year 1 Jan 03 03:00,0,0,6.15,11.8,-62.15070705,95.73904895,0,0.125,14.71177023,90,23.0225,72.5714,11.6,0,69,0,0,0
Year 1 Jan 03 04:00,0,0,5.875,11.525,-48.46840247,99.07289778,0,0.375,14.22329088,90,23.0225,72.5714,11.5,0,68,0,0,0
Year 1 Jan 03 05:00,0,0,5.575,11.35,-34.91800762,102.6598563,0,0.875,13.75422032,90,23.0225,72.5714,11.3,0,67,0,0,0
Year 1 Jan 03 06:00,0,0,5.2,11.225,-21.56982156,106.6896602,52.5,1.375,13.30819578,90,23.0225,72.5714,11.2,0,66,0,0,0
Year 1 Jan 03 07:00,0,0,4.875,12.025,-8.525603306,111.392788,70,2.175,13.18739301,90,23.0225,72.5714,12.3,0,60,0,0,0
Year 1 Jan 03 08:00,34.5,55.75,4.5,13.05,4.058554888,117.0939729,70,3,15.73564411,90,23.0225,72.5714,13.3,13,55,0,0,13
Year 1 Jan 03 09:00,108.25,302.5,4.1,14.125,15.93167426,124.2698041,85,3.875,23.62204649,90,23.0225,72.5714,14.4,150,50,223,0,99
Year 1 Jan 03 10:00,135.5,588.25,4.525,16.125,26.6777629,133.6034715,90,4.325,30.02194571,90,23.0225,72.5714,16.7,358,45,541,0,136
Year 1 Jan 03 11:00,131.5,754.5,5.15,18.5,35.61274167,145.9380102,90,4.7,31.77979917,90,23.0225,72.5714,19.1,540,40,730,0,134
Year 1 Jan 03 12:00,121,839.25,5.75,20.825,41.71735441,161.8214319,90,5.025,30.03960995,90,23.0225,72.5714,21.4,664,36,828,0,124
Year 1 Jan 03 13:00,111.75,871,6.125,22.525,43.86519537,180.3954733,90,4.875,26.74551539,90,23.0225,72.5714,22.9,718,34,873,1,112
Year 1 Jan 03 14:00,109.5,853.75,6.35,23.95,41.53612349,198.9030273,90,4.575,26.23321979,90,23.0225,72.5714,24.3,697,32,865,2,111
Year 1 Jan 03 15:00,106.25,787,6.625,25.425,35.2907952,214.6424332,90,4.2,26.60156012,90,23.0225,72.5714,25.8,600,30,820,3,105
Year 1 Jan 03 16:00,107,628.25,7.15,25.35,26.26277644,226.8368009,90,3.5,26.36135334,90,23.0225,72.5714,25.2,441,32,688,4,110
Year 1 Jan 03 17:00,83.25,355.75,7.75,24.75,15.45865461,236.0647946,90,2.625,25.35116724,90,23.0225,72.5714,24.6,239,34,449,4,98
Year 1 Jan 03 18:00,29.25,57,8.35,24.225,3.549274581,243.1675185,90,1.725,23.84445264,90,23.0225,72.5714,24.1,48,37,76,4,39
Year 1 Jan 03 19:00,0,0,8.725,22.6,-9.058080555,248.8191638,90,1.125,22.3842709,90,23.0225,72.5714,22.1,0,43,0,5,0
Year 1 Jan 03 20:00,0,0,8.95,20.525,-22.11750811,253.4887847,90,0.625,21.18230051,90,23.0225,72.5714,20,0,49,0,6,0
Year 1 Jan 03 21:00,0,0,9.15,18.5,-35.47581313,257.4961407,22.5,0.125,20.04421969,90,23.0225,72.5714,18,0,56,0,6,0
Year 1 Jan 03 22:00,0,0,9.35,17.325,-49.03290639,261.0689084,0,0.375,19.12111916,90,23.0225,72.5714,17.1,0,60,0,6,0
Year 1 Jan 03 23:00,0,0,9.475,16.5,-62.71945866,264.3966729,0,0.875,18.3212443,90,23.0225,72.5714,16.3,0,64,0,6,0
Year 1 Jan 04 00:00,0,0,9.575,15.625,-76.48376908,267.7935928,37.5,1.375,17.5191336,90,23.0225,72.5714,15.4,0,68,0,6,0
Year 1 Jan 04 01:00,0,0,9.45,15.025,-86.53790784,86.6137454,50,1.5,16.85433094,90,23.0225,72.5714,14.9,0,69,0,6,0
Year 1 Jan 04 02:00,0,0,9.25,14.6,-76.01034727,91.9049538,50,1.5,16.31599332,90,23.0225,72.5714,14.5,0,71,0,5,0
Year 1 Jan 04 03:00,0,0,8.975,14.125,-62.24357127,95.50316292,50,1.5,15.81058464,90,23.0225,72.5714,14,0,72,0,4,0
Year 1 Jan 04 04:00,0,0,8.75,13.625,-48.55530836,98.9008188,50,1.5,15.31129568,90,23.0225,72.5714,13.5,0,73,0,4,0
Year 1 Jan 04 05:00,0,0,8.55,13.2,-34.99792781,102.5149775,50,1.5,14.85158852,90,23.0225,72.5714,13.1,0,74,0,3,0
Year 1 Jan 04 06:00,0,0,8.275,12.725,-21.64140954,106.5564662,12.5,1.5,14.40017427,90,23.0225,72.5714,12.6,0,75,0,2,0
Year 1 Jan 04 07:00,0,0,8.2,12.675,-8.586956737,111.2621627,0,1.5,14.09447177,90,23.0225,72.5714,12.7,0,74,0,2,0
Year 1 Jan 04 08:00,34.5,54.25,8.2,12.85,4.010200128,116.9590724,0,1.5,16.60716935,90,23.0225,72.5714,12.9,13,73,0,2,13
Year 1 Jan 04 09:00,107,297.75,8.2,12.975,15.90037777,124.1247313,0,1.5,25.36293565,90,23.0225,72.5714,13,148,73,217,2,99
Year 1 Jan 04 10:00,128.25,585,9.325,15.175,26.66936994,133.4438122,0,1.5,32.9819987,90,23.0225,72.5714,15.9,353,67,540,4,131
Year 1 Jan 04 11:00,139.25,695.5,10.75,18.15,35.6348609,145.7645586,0,1.5,35.08302503,90,23.0225,72.5714,18.9,520,61,720,5,120
Year 1 Jan 04 12:00,205,619.25,12,21.075,41.77705022,161.6481213,0,1.5,33.2618182,90,23.0225,72.5714,21.8,603,55,622,6,197
Year 1 Jan 04 13:00,227,610.5,12.075,22.85,43.96289548,180.2517438,0,1.65,29.96876922,90,23.0225,72.5714,23.2,653,49,611,6,229
Year 1 Jan 04 14:00,214.25,603.5,11.7,24.25,41.66170891,198.812881,0,1.85,29.06690743,90,23.0225,72.5714,24.6,635,44,609,6,221
Year 1 Jan 04 15:00,174.25,603.5,11.3,25.65,35.43005009,214.6045316,330,2.05,28.80292499,90,23.0225,72.5714,26,550,40,587,6,194
Year 1 Jan 04 16:00,111,601.75,11.125,25.85,26.40547977,226.8359774,320,1.95,27.95261699,90,23.0225,72.5714,25.8,430,40,653,5,115
Year 1 Jan 04 17:00,84.25,358,11.025,25.65,15.59967867,236.08785,320,1.75,26.83693076,90,23.0225,72.5714,25.6,240,40,448,4,99
Year 1 Jan 04 18:00,30,66,10.85,25.45,3.686520668,243.2070891,320,1.55,25.33634083,90,23.0225,72.5714,25.4,50,40,88,2,40
Year 1 Jan 04 19:00,0,0,9.75,24.275,-8.925329032,248.8726105,320,1.8,23.96193816,90,23.0225,72.5714,23.9,0,40,0,2,0
Year 1 Jan 04 20:00,0,0,8.275,22.7,-21.98941144,253.5571654,320,2.125,22.8277812,90,23.0225,72.5714,22.3,0,39,0,1,0
Year 1 Jan 04 21:00,0,0,6.55,21.175,-35.35233423,257.5846508,170,2.5,21.71782047,90,23.0225,72.5714,20.8,0,38,0,0,0
Year 1 Jan 04 22:00,0,0,6.325,19.825,-48.91395234,261.190339,0,2.6,20.70479345,90,23.0225,72.5714,19.5,0,42,0,2,0
Year 1 Jan 04 23:00,0,0,6.625,18.6,-62.60489779,264.5857155,0,2.6,19.76559245,90,23.0225,72.5714,18.3,0,47,0,3,0
Year 1 Jan 05 00:00,0,0,6.925,17.325,-76.37311269,268.20602,0,2.6,18.81590268,90,23.0225,72.5714,17,0,52,0,5,0
Year 1 Jan 05 01:00,0,0,7.075,16.475,-86.52750054,84.89545324,0,1.925,18.11386086,90,23.0225,72.5714,16.3,0,54,0,5,0
Year 1 Jan 05 02:00,0,0,7.175,15.85,-76.10533213,91.40940623,0,1.1,17.59327916,90,23.0225,72.5714,15.7,0,57,0,4,0
Year 1 Jan 05 03:00,0,0,7.275,15.175,-62.33389861,95.25001864,0,0.225,17.10937706,90,23.0225,72.5714,15,0,60,0,4,0
Year 1 Jan 05 04:00,0,0,7,14.85,-48.63945091,98.71734822,0,0.75,16.61786612,90,23.0225,72.5714,14.8,0,59,0,2,0
Year 1 Jan 05 05:00,0,0,6.6,14.65,-35.07475544,102.3613232,0,1.825,16.09888668,90,23.0225,72.5714,14.6,0,58,0,1,0
Year 1 Jan 05 06:00,0,0,6.2,14.45,-21.70950823,106.415902,0,2.85,15.62045165,90,23.0225,72.5714,14.4,0,57,0,0,0
Year 1 Jan 05 07:00,0,0,5.65,15.6,-8.644357137,111.124995,0,3.025,15.79922637,90,23.0225,72.5714,16,0,50,0,0,0
Year 1 Jan 05 08:00,34.5,55.75,5.05,17.2,3.966339404,116.8181635,0,2.925,18.81062895,90,23.0225,72.5714,17.6,13,43,0,0,13
Year 1 Jan 05 09:00,108,303.75,4.45,18.8,15.87420507,123.9740864,0,2.825,27.69391032,90,23.0225,72.5714,19.2,149,37,223,1,99
Year 1 Jan 05 10:00,134.25,594.25,3.85,20.4,26.66681567,133.279154,0,2.8,34.96612887,90,23.0225,72.5714,20.8,359,32,546,1,135
Year 1 Jan 05 11:00,129,764.75,3.175,22,35.66355828,145.587195,0,2.725,36.99996848,90,23.0225,72.5714,22.4,543,28,739,1,132
Year 1 Jan 05 12:00,117.25,852.5,2.475,23.6,41.8438919,161.4729924,0,2.625,34.88983123,90,23.0225,72.5714,24,670,24,842,1,120
Year 1 Jan 05 13:00,108.75,881.25,3.35,24.375,44.06778781,180.1093472,0,2.6,30.4667607,90,23.0225,72.5714,24.5,724,26,884,1,109
Year 1 Jan 05 14:00,106.5,862.75,4.675,24.8,41.79380355,198.7271723,0,2.6,28.88990058,90,23.0225,72.5714,24.9,703,28,873,1,108
Year 1 Jan 05 15:00,103.25,799.5,5.825,25.275,35.57465714,214.5729361,0,2.6,28.41689491,90,23.0225,72.5714,25.4,608,29,832,1,102
Year 1 Jan 05 16:00,106.5,634,6.775,25.25,26.55232134,226.8421547,0,2.6,27.77372393,90,23.0225,72.5714,25.2,448,31,702,3,107
Year 1 Jan 05 17:00,89,336.75,7.6,25.05,15.74378447,236.1180577,0,2.6,26.70342255,90,23.0225,72.5714,25,242,33,430,5,105
Year 1 Jan 05 18:00,30.75,42.75,8.325,24.85,3.825984577,243.2538726,330,2.6,25.21044563,90,23.0225,72.5714,24.8,48,35,57,6,41
Year 1 Jan 05 19:00,0,0,8.8,23.6,-8.791059637,248.9334758,320,2.3,23.82902045,90,23.0225,72.5714,23.2,0,40,0,5,0
Year 1 Jan 05 20:00,0,0,9.125,22,-21.86036908,253.6334732,320,1.975,22.69731659,90,23.0225,72.5714,21.6,0,45,0,4,0
Year 1 Jan 05 21:00,0,0,9.425,20.4,-35.22838081,257.6821027,170,1.6,21.6255607,90,23.0225,72.5714,20,0,51,0,2,0
Year 1 Jan 05 22:00,0,0,9.125,19.475,-48.79490417,261.3226602,0,1.8,20.77500803,90,23.0225,72.5714,19.3,0,51,0,2,0
Year 1 Jan 05 23:00,0,0,8.55,18.85,-62.49050581,264.7897407,0,2.125,20.05523013,90,23.0225,72.5714,18.7,0,51,0,2,0
Year 1 Jan 06 00:00,0,0,7.95,18.175,-76.26253566,268.6446042,0,2.5,19.35722596,90,23.0225,72.5714,18,0,51,0,2,0
Year 1 Jan 06 01:00,0,0,7.875,17.475,-86.51288361,83.06239846,0,2.45,18.715804,90,23.0225,72.5714,17.3,0,54,0,2,0
Year 1 Jan 06 02:00,0,0,7.975,16.85,-76.19734757,90.87406577,0,2.325,18.14285378,90,23.0225,72.5714,16.7,0,57,0,2,0
Year 1 Jan 06 03:00,0,0,8.075,16.175,-62.42151217,94.97963698,0,2.15,17.58053769,90,23.0225,72.5714,16,0,59,0,2,0
Year 1 Jan 06 04:00,0,0,8.325,15.025,-48.72069242,98.52254762,0,1.575,16.91618895,90,23.0225,72.5714,14.7,0,66,0,2,0
Year 1 Jan 06 05:00,0,0,8.55,13.65,-35.14837648,102.1989641,0,0.875,16.21117707,90,23.0225,72.5714,13.3,0,73,0,2,0
Year 1 Jan 06 06:00,0,0,8.75,12.325,-21.77402229,106.2680421,0,0.175,15.51102285,90,23.0225,72.5714,12,0,81,0,2,0
Year 1 Jan 06 07:00,0,0,8.8,12.375,-8.697726491,110.9813625,0,0,15.13200623,90,23.0225,72.5714,12.5,0,78,0,2,0
Year 1 Jan 06 08:00,34.25,54.25,8.725,12.8,3.927032986,116.6713272,0,0,17.86896071,90,23.0225,72.5714,12.9,13,75,0,2,13
Year 1 Jan 06 09:00,107.75,296.25,8.625,13.275,15.85319726,123.8179527,0,0,27.14245737,90,23.0225,72.5714,13.4,148,73,217,1,98
Year 1 Jan 06 10:00,136.5,582.75,7.775,15.725,26.67012037,133.1095794,0,1.05,34.64707506,90,23.0225,72.5714,16.5,357,55,534,1,137
Year 1 Jan 06 11:00,132,755,6.6,18.75,35.6988329,145.4059966,0,2.375,35.93736939,90,23.0225,72.5714,19.5,541,42,729,1,135
Year 1 Jan 06 12:00,120.75,842.75,5.325,21.825,41.91785922,161.2961179,52.5,3.75,33.10161317,90,23.0225,72.5714,22.6,668,32,833,1,123
Year 1 Jan 06 13:00,122,853.5,5.6,23.2,44.17983327,179.9683676,70,3.05,29.33181361,90,23.0225,72.5714,23.4,722,32,872,3,114
Year 1 Jan 06 14:00,158,747.75,6.325,24,41.93234548,198.6460012,70,1.725,28.78498558,90,23.0225,72.5714,24.2,690,32,798,5,146
Year 1 Jan 06 15:00,185.75,577.25,7.025,24.8,35.72453184,214.5477378,17.5,0.35,29.15480508,90,23.0225,72.5714,25,558,32,597,6,194
Year 1 Jan 06 16:00,149,478.25,7.8,24.775,26.70320181,226.8553962,0,0.525,28.43975249,90,23.0225,72.5714,24.7,413,34,518,6,161
Year 1 Jan 06 17:00,95.25,284.75,8.525,24.4,15.89086675,236.155451,0,1.225,26.91571434,90,23.0225,72.5714,24.3,228,37,359,6,113
Year 1 Jan 06 18:00,31.5,46.5,9.15,24.075,3.967561599,243.3078765,0,1.925,25.08133762,90,23.0225,72.5714,24,49,39,62,6,42
Year 1 Jan 06 19:00,0,0,9.375,22.95,-8.655372199,249.0017443,0,1.8,23.63003223,90,23.0225,72.5714,22.6,0,43,0,6,0
Year 1 Jan 06 20:00,0,0,9.4,21.475,-21.73047261,253.717669,0,1.475,22.59740046,90,23.0225,72.5714,21.1,0,47,0,5,0
Year 1 Jan 06 21:00,0,0,9.475,20.05,-35.10403247,257.788427,0,1.1,21.65567112,90,23.0225,72.5714,19.7,0,52,0,5,0
Year 1 Jan 06 22:00,0,0,9.5,18.65,-48.6758237,261.4657515,0,0.775,20.79150881,90,23.0225,72.5714,18.3,0,57,0,5,0
Year 1 Jan 06 23:00,0,0,9.575,17.175,-62.37631353,265.0085061,0,0.475,19.90636864,90,23.0225,72.5714,16.8,0,62,0,4,0
Year 1 Jan 07 00:00,0,0,9.6,15.75,-76.15198798,269.1085243,0,0.1,19.01004206,90,23.0225,72.5714,15.4,0,68,0,4,0
Year 1 Jan 07 01:00,0,0,9.15,15.175,-86.49334592,81.11382144,0,0,18.3374803,90,23.0225,72.5714,15.1,0,67,0,3,0
Year 1 Jan 07 02:00,0,0,8.475,14.8,-76.2860848,90.29864174,0,0,17.743036,90,23.0225,72.5714,14.7,0,65,0,2,0
Year 1 Jan 07 03:00,0,0,7.7,14.475,-62.50623155,94.69206045,0,0,17.16395657,90,23.0225,72.5714,14.4,0,63,0,1,0
Year 1 Jan 07 04:00,0,0,7.65,14.025,-48.79889443,98.3164893,0,0,16.63233526,90,23.0225,72.5714,13.9,0,66,0,3,0
Year 1 Jan 07 05:00,0,0,7.775,13.45,-35.21867749,102.0279775,0,0,16.11470031,90,23.0225,72.5714,13.3,0,69,0,5,0
Year 1 Jan 07 06:00,0,0,7.875,12.925,-21.83485791,106.1129653,0,0,15.62119443,90,23.0225,72.5714,12.8,0,72,0,6,0
Year 1 Jan 07 07:00,0,0,8.5,13.1,-8.746989009,110.831346,0,0,15.44958041,90,23.0225,72.5714,13.2,0,74,0,6,0
Year 1 Jan 07 08:00,33.75,49,9.3,13.5,3.892338374,116.5186462,0,0,18.18345185,90,23.0225,72.5714,13.6,12,76,0,5,12
Year 1 Jan 07 09:00,109.5,276.5,10.025,13.9,15.83739226,123.6564145,0,0,27.28104505,90,23.0225,72.5714,14,143,78,196,5,99
Year 1 Jan 07 10:00,136.25,574.75,10.725,16.1,26.67930094,132.9351712,0,0.525,35.33786154,90,23.0225,72.5714,16.8,354,68,518,3,141
Year 1 Jan 07 11:00,120.5,767,11.425,18.9,35.74068056,145.2210395,0,1.225,37.47388524,90,23.0225,72.5714,19.6,537,60,745,2,122
Year 1 Jan 07 12:00,116,840,12.05,21.7,41.99892888,161.1175693,67.5,1.925,34.91518522,90,23.0225,72.5714,22.4,662,52,833,0,116
Year 1 Jan 07 13:00,115.5,859.5,12.35,23.075,44.29898988,179.8288889,90,2.1,30.36254119,90,23.0225,72.5714,23.3,718,50,861,0,116
Year 1 Jan 07 14:00,112,845.75,12.475,23.9,42.0772698,198.5694683,90,2.1,28.91598245,90,23.0225,72.5714,24.1,699,48,855,0,114
Year 1 Jan 07 15:00,103.75,794,12.575,24.775,35.87958675,214.5290279,187.5,2.1,28.50424048,90,23.0225,72.5714,25,607,46,818,0,106
Year 1 Jan 07 16:00,95.25,665.5,12.525,24.85,26.8580195,226.8757634,340,2.1,27.73669108,90,23.0225,72.5714,24.8,451,46,722,0,97
Year 1 Jan 07 17:00,78.75,392.5,12.425,24.65,16.04081877,236.2000605,340,2.1,26.71358356,90,23.0225,72.5714,24.6,250,46,496,0,90
Year 1 Jan 07 18:00,33.75,61.5,12.25,24.45,4.111146482,243.3691048,325,2.1,25.24265338,90,23.0225,72.5714,24.4,56,46,82,0,45
Year 1 Jan 07 19:00,0,0,12.2,23.2,-8.518366152,249.077397,320,1.575,23.81983723,90,23.0225,72.5714,22.8,0,51,0,0,0
Year 1 Jan 07 20:00,0,0,12.2,21.6,-21.59981224,253.8097104,320,0.875,22.73296614,90,23.0225,72.5714,21.2,0,56,0,0,0
Year 1 Jan 07 21:00,0,0,12.125,20,-34.97936652,257.903551,170,0.175,21.76356075,90,23.0225,72.5714,19.6,0,62,0,0,0
Year 1 Jan 07 22:00,0,0,11.5,19,-48.55676932,261.6194891,0,0.675,20.89783695,90,23.0225,72.5714,18.8,0,62,0,2,0
Year 1 Jan 07 23:00,0,0,10.7,18.2,-62.26234674,265.2417685,0,1.5,20.0328442,90,23.0225,72.5714,18,0,62,0,4,0
Year 1 Jan 08 00:00,0,0,9.825,17.4,-76.04141238,269.5969748,330,2.375,19.14834793,90,23.0225,72.5714,17.2,0,61,0,6,0
Year 1 Jan 08 01:00,0,0,9.45,16.75,-86.46813192,79.05084426,320,1.925,18.50680203,90,23.0225,72.5714,16.6,0,62,0,6,0
Year 1 Jan 08 02:00,0,0,9.175,16.15,-76.371222,89.68295435,320,1.1,18.00530423,90,23.0225,72.5714,16,0,64,0,5,0
Year 1 Jan 08 03:00,0,0,8.875,15.55,-62.58787313,94.38735434,170,0.225,17.59087331,90,23.0225,72.5714,15.4,0,65,0,4,0
